xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,15.07,4,4,231.41,20.27,18.71,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,15.07,4,4,220.22,19.35,18.31,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,17.26,4,4,223.23,19.11,17.48,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,19.19,4,4,166.36,15.32,14.08,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,21.12,4,4,201.25,16.66,15.53,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,22.61,4,4,203.9,17.34,16.33,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,24.38,4,4,183.92,15.42,14.47,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,25.51,4,4,175.55,16.82,15.92,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,25.51,4,4,170.91,14.94,13.68,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,35.82,4,4,214.42,18.77,17.43,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,46.61,4,4,210.31,17.71,16.86,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,52.14,4,4,200.68,18.37,16.96,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,61.28,4,4,201.4,21.11,18.8,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,77.3,4,4,236.93,21.44,19.73,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,84.33,4,4,238.18,23.09,21.54,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,89.11,4,4,263.21,23.69,21.81,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,100.36,4,4,272.11,26.49,24.54,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,106.12,4,4,250.38,23.26,22.14,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,111.32,4,4,276.43,26.06,24.78,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,116.82,4,4,305.46,33.86,31.22,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,118.81,4,4,320.92,36.9,32.22,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,119.06,4,4,297.43,31.52,28.12,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,121.79,4,4,331.35,30.16,28.43,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,123.77,4,4,267.19,23.67,21.98,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,124.37,4,4,281.18,24.67,23.06,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,127.48,4,4,271.51,26.21,23.28,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,130.86,4,4,281.5,30.64,28.56,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,131.91,4,4,248.66,22.79,21.57,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,133.22,4,4,236.46,22.09,20.24,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,134,4,4,210.93,20.37,19.11,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,135.57,4,4,208.72,20.2,18.6,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,138.97,4,4,208.61,19.28,18.26,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,146.69,4,4,216.63,20.43,19.24,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,150.04,4,4,209.79,19.96,18.36,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,169.76,4,4,209.58,19.41,18.18,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,179.94,4,4,206.54,19.66,17.69,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,184.37,4,4,214.37,20.9,19.2,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,190.01,4,4,223.75,21.38,19.21,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,191.68,4,4,223.81,20.95,19.83,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,198.07,4,4,246.23,22.47,21.83,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,211.57,4,4,274.42,27.41,24.92,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,220.44,4,4,261.03,24.35,22.29,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,223.66,4,4,259.32,27.23,24.37,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,227.1,4,4,232.53,22.18,21.19,,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,TRUE,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,FALSE,,FALSE,FALSE,,FALSE,added age uncertainties based on LR04,12.74,-78.74
